Rating|id|Short-Info|Purpose|More-Info
2.0|6549|Dilaureth-10 Phosphate is a complex mixture of diesters of phosphoric acid and Laureth-10(q.v.).|surfactant - emulsifying agent, emulsifying, and surfactant|https://www.ewg.org/skindeep/ingredients/718488-DILAURETH10_PHOSPHATE/
1|6550|Dimethiconol Panthenol is a reaction product of Dimethiconol (q.v.) and Panthenol (q.v.).|hair conditioning agent and hair conditioning|https://www.ewg.org/skindeep/ingredients/718549-DIMETHICONOL_PANTHENOL/
1|6551||fragrance ingredient, perfuming, and viscosity controlling|https://www.ewg.org/skindeep/ingredients/718972-ETHYL_METHYLPHENYLGLYCIDATE/
1|6552|Fragaria Chiloensis (Strawberry) Fruit Juice is a juice expressed from the fruit of Fragariachiloensis.|flavoring agent and skin conditioning|https://www.ewg.org/skindeep/ingredients/719117-FRAGARIA_CHILOENSIS_STRAWBERRY_FRUIT_JUICE/
1|6553|Gypsophila Paniculata Root Extract is an extract of the roots of the white saponaria, Gypsophylla paniculata.|skin-conditioning agent - miscellaneous and skin conditioning|https://www.ewg.org/skindeep/ingredients/719369-GYPSOPHILA_PANICULATA_ROOT_EXTRACT/
1|6554|Hordeum Vulgare Leaf Juice is a juice expressed from the leaf of Hordeum vulgare.|not reported|https://www.ewg.org/skindeep/ingredients/719523-HORDEUM_VULGARE_LEAF_JUICE/
1|6555||flavoring agent, fragrance ingredient, masking, and perfuming|https://www.ewg.org/skindeep/ingredients/719958-ISOPENTANAL/
3.5|6556|Jojoba Oil PEG-8 Esters is a polyethylene glycol derivative of the acids and alcohols derivedfrom Simmondsia Chinensis (Jojoba) Oil (q.v.) containing an average of 8 moles of ethylene oxide.|hair conditioning agent, skin-conditioning agent - miscellaneous, hair conditioning, and skin conditioning|https://www.ewg.org/skindeep/ingredients/720061-SIMMONDSIA_CHINENSIS_JOJOBA_OIL_PEG8_ESTERS/
1|6557|Larrea Mexicana Extract is an extract of the chaparral, Larrea mexicana.|not reported, masking, and viscosity controlling|https://www.ewg.org/skindeep/ingredients/720209-LARREA_MEXICANA_EXTRACT/
1.5|6558|Laureth-17 Carboxylic Acid is an organic acid.|surfactant - cleansing agent|https://www.ewg.org/skindeep/ingredients/720242-LAURETH17_CARBOXYLIC_ACID/
1|6559|Mauritia Flexuosa Extract is an extract of the flowers and nuts of Mauritia flexuosa.|not reported and skin conditioning|https://www.ewg.org/skindeep/ingredients/720528-MAURITIA_FLEXUOSA_EXTRACT/
1|6560|Mentha Viridis (Spearmint) Leaf Juice is a juice expressed from the leaves of Mentha viridis.|skin-conditioning agent - miscellaneous and skin conditioning|https://www.ewg.org/skindeep/ingredients/720580-MENTHA_SPICATA_SPEARMINT_LEAF_JUICE/
1|6561|Myreth-3 Ethylhexanoate is an ester of Myreth-3 (q.v.) and 2-ethylhexanoic acid.|skin-conditioning agent - emollient, emollient, and skin conditioning|https://www.ewg.org/skindeep/ingredients/720818-MYRETH3_ETHYLHEXANOATE/
1|6562|Narcissus Poeticus Extract is an extract of the flowers of Narcissus poeticus.|fragrance ingredient|https://www.ewg.org/skindeep/ingredients/720900-NARCISSUS_POETICUS_EXTRACT/
